date,day,hour,measure,month,weekday,year,period
2017-12-12 08:00:00,12,8,78.0,12,1,2017,Without pedestrianization
2017-12-12 09:00:00,12,9,82.0,12,1,2017,Without pedestrianization
2017-12-12 10:00:00,12,10,66.0,12,1,2017,Without pedestrianization
2017-12-12 11:00:00,12,11,62.0,12,1,2017,Without pedestrianization
2017-12-12 12:00:00,12,12,54.0,12,1,2017,Without pedestrianization
2017-12-12 13:00:00,12,13,43.0,12,1,2017,Without pedestrianization
2017-12-12 14:00:00,12,14,36.0,12,1,2017,Without pedestrianization
2017-12-12 15:00:00,12,15,32.0,12,1,2017,Without pedestrianization
2017-12-12 16:00:00,12,16,31.0,12,1,2017,Without pedestrianization
2017-12-12 17:00:00,12,17,44.0,12,1,2017,Without pedestrianization
2017-12-12 18:00:00,12,18,61.0,12,1,2017,Without pedestrianization
2017-12-12 19:00:00,12,19,67.0,12,1,2017,Without pedestrianization
2017-12-12 20:00:00,12,20,72.0,12,1,2017,Without pedestrianization
2017-12-12 21:00:00,12,21,74.0,12,1,2017,Without pedestrianization
2017-12-12 22:00:00,12,22,67.0,12,1,2017,Without pedestrianization
2017-12-12 23:00:00,12,23,68.0,12,1,2017,Without pedestrianization
2017-12-13 00:00:00,13,0,71.0,12,2,2017,Without pedestrianization
2017-12-13 01:00:00,13,1,63.0,12,2,2017,Without pedestrianization
2017-12-13 02:00:00,13,2,50.0,12,2,2017,Without pedestrianization
2017-12-13 03:00:00,13,3,44.0,12,2,2017,Without pedestrianization
2017-12-13 04:00:00,13,4,40.0,12,2,2017,Without pedestrianization
2017-12-13 05:00:00,13,5,50.0,12,2,2017,Without pedestrianization
2017-12-13 06:00:00,13,6,51.0,12,2,2017,Without pedestrianization
2017-12-13 07:00:00,13,7,57.0,12,2,2017,Without pedestrianization
2017-12-13 08:00:00,13,8,69.0,12,2,2017,Without pedestrianization
2017-12-13 09:00:00,13,9,85.0,12,2,2017,Without pedestrianization
2017-12-13 10:00:00,13,10,87.0,12,2,2017,Without pedestrianization
2017-12-13 11:00:00,13,11,71.0,12,2,2017,Without pedestrianization
2017-12-13 12:00:00,13,12,65.0,12,2,2017,Without pedestrianization
2017-12-13 13:00:00,13,13,56.0,12,2,2017,Without pedestrianization
2017-12-13 14:00:00,13,14,46.0,12,2,2017,Without pedestrianization
2017-12-13 15:00:00,13,15,43.0,12,2,2017,Without pedestrianization
2017-12-13 16:00:00,13,16,41.0,12,2,2017,Without pedestrianization
2017-12-13 17:00:00,13,17,44.0,12,2,2017,Without pedestrianization
2017-12-13 18:00:00,13,18,51.0,12,2,2017,Without pedestrianization
2017-12-13 19:00:00,13,19,55.0,12,2,2017,Without pedestrianization
2017-12-13 20:00:00,13,20,53.0,12,2,2017,Without pedestrianization
2017-12-13 21:00:00,13,21,51.0,12,2,2017,Without pedestrianization
2017-12-13 22:00:00,13,22,40.0,12,2,2017,Without pedestrianization
2017-12-13 23:00:00,13,23,32.0,12,2,2017,Without pedestrianization
2017-12-14 00:00:00,14,0,27.0,12,3,2017,Without pedestrianization
2017-12-14 01:00:00,14,1,26.0,12,3,2017,Without pedestrianization
2017-12-14 02:00:00,14,2,24.0,12,3,2017,Without pedestrianization
2017-12-14 03:00:00,14,3,26.0,12,3,2017,Without pedestrianization
2017-12-14 04:00:00,14,4,24.0,12,3,2017,Without pedestrianization
2017-12-14 05:00:00,14,5,21.0,12,3,2017,Without pedestrianization
2017-12-14 06:00:00,14,6,25.0,12,3,2017,Without pedestrianization
2017-12-14 07:00:00,14,7,32.0,12,3,2017,Without pedestrianization
2017-12-14 08:00:00,14,8,47.0,12,3,2017,Without pedestrianization
2017-12-14 09:00:00,14,9,43.0,12,3,2017,Without pedestrianization
2017-12-14 10:00:00,14,10,41.0,12,3,2017,Without pedestrianization
2017-12-14 11:00:00,14,11,43.0,12,3,2017,Without pedestrianization
2017-12-14 12:00:00,14,12,42.0,12,3,2017,Without pedestrianization
2017-12-14 13:00:00,14,13,37.0,12,3,2017,Without pedestrianization
2017-12-14 14:00:00,14,14,36.0,12,3,2017,Without pedestrianization
2017-12-14 15:00:00,14,15,33.0,12,3,2017,Without pedestrianization
2017-12-14 16:00:00,14,16,32.0,12,3,2017,Without pedestrianization
2017-12-14 17:00:00,14,17,36.0,12,3,2017,Without pedestrianization
2017-12-14 18:00:00,14,18,39.0,12,3,2017,Without pedestrianization
2017-12-14 19:00:00,14,19,35.0,12,3,2017,Without pedestrianization
2017-12-14 20:00:00,14,20,33.0,12,3,2017,Without pedestrianization
2017-12-14 21:00:00,14,21,28.0,12,3,2017,Without pedestrianization
