,actual,predicted,difference,mae,mse
736,87.99999,89.367195,-1.3672028,1.3672028,1.8692434
737,122.99999,87.75499,35.245003,35.245003,1242.2102
738,115.99999,98.10085,17.89914,17.89914,320.37918
739,87.0,101.9407,-14.940697,14.940697,223.22441
740,73.0,94.37358,-21.37358,21.37358,456.82996
741,66.0,83.0736,-17.0736,17.0736,291.50784
742,63.0,71.94198,-8.941978,8.941978,79.95898
743,67.0,65.16705,1.8329468,1.8329468,3.359694
744,66.0,64.685425,1.3145752,1.3145752,1.7281079
745,58.0,64.66564,-6.665642,6.665642,44.43078
746,60.0,60.651398,-0.6513977,0.6513977,0.42431897
747,53.000004,59.302216,-6.3022118,6.3022118,39.717873
748,47.0,55.07975,-8.07975,8.07975,65.282364
749,48.0,49.575653,-1.5756531,1.5756531,2.4826827
750,49.0,47.486984,1.5130157,1.5130157,2.2892168
751,54.0,47.325417,6.6745834,6.6745834,44.550064
752,55.0,50.211876,4.788124,4.788124,22.926132
753,50.0,52.41204,-2.4120407,2.4120407,5.81794
754,44.0,50.68385,-6.6838493,6.6838493,44.673843
755,46.0,46.20371,-0.20370865,0.20370865,0.041497212
756,53.000004,44.924683,8.075321,8.075321,65.210815
757,63.0,48.407196,14.592804,14.592804,212.94992
758,80.99999,55.765903,25.234089,25.234089,636.7592
759,92.0,68.491356,23.508644,23.508644,552.6564
760,85.99999,79.92752,6.0724716,6.0724716,36.874912
761,96.99999,82.99928,14.00071,14.00071,196.01987
762,101.99999,87.9804,14.019592,14.019592,196.54897
763,87.0,92.11374,-5.113739,5.113739,26.150326
764,67.0,88.72815,-21.72815,21.72815,472.1125
765,66.0,77.59933,-11.599327,11.599327,134.54439
766,58.0,69.57986,-11.579857,11.579857,134.09308
767,56.0,61.733944,-5.733944,5.733944,32.878113
768,48.0,57.192505,-9.192505,9.192505,84.502144
769,42.0,51.129948,-9.129948,9.129948,83.35594
770,43.0,44.77176,-1.771759,1.771759,3.13913
771,63.0,42.477802,20.522198,20.522198,421.1606
772,59.0,52.414734,6.585266,6.585266,43.36573
773,73.0,56.18524,16.814758,16.814758,282.73608
774,76.99999,64.66161,12.338379,12.338379,152.2356
775,83.99999,71.07159,12.928406,12.928406,167.14368
776,89.0,77.01737,11.982628,11.982628,143.58337
777,99.99999,82.17457,17.825424,17.825424,317.74576
778,94.0,88.72361,5.27639,5.27639,27.840292
779,69.0,89.93561,-20.935608,20.935608,438.29968
780,67.0,79.737144,-12.737144,12.737144,162.23485
781,78.0,71.53635,6.4636536,6.4636536,41.778816
782,94.0,72.46678,21.533218,21.533218,463.6795
783,92.99999,81.17072,11.829269,11.829269,139.93161
784,85.0,86.12159,-1.1215897,1.1215897,1.2579634
785,92.0,85.11383,6.8861694,6.8861694,47.41933
786,83.0,86.49144,-3.4914398,3.4914398,12.190152
787,57.0,83.6087,-26.608704,26.608704,708.02313
788,32.0,69.71329,-37.713287,37.713287,1422.292
789,26.0,47.03107,-21.03107,21.03107,442.30594
790,24.0,32.057705,-8.057705,8.057705,64.926605
791,20.0,25.926693,-5.926693,5.926693,35.12569
792,24.0,22.213085,1.7869148,1.7869148,3.1930647
793,28.0,23.057726,4.942274,4.942274,24.426073
794,43.0,25.769295,17.230705,17.230705,296.89722
795,68.0,34.932686,33.067314,33.067314,1093.4473
796,83.0,52.4768,30.523201,30.523201,931.6658
797,90.99999,68.78353,22.216461,22.216461,493.57114
798,92.99999,80.19832,12.801674,12.801674,163.88286
799,68.0,86.04736,-18.047363,18.047363,325.70734
800,67.0,77.583595,-10.583595,10.583595,112.01249
801,59.0,70.68468,-11.684677,11.684677,136.53168
802,44.0,62.95496,-18.95496,18.95496,359.2905
803,44.0,51.130974,-7.130974,7.130974,50.85079
804,56.0,45.39528,10.604721,10.604721,112.460106
805,76.0,49.724327,26.275673,26.275673,690.411
806,85.99999,62.846,23.153992,23.153992,536.10736
807,99.0,74.72072,24.279282,24.279282,589.4835
808,117.0,85.73164,31.268356,31.268356,977.7101
809,110.0,96.84402,13.155983,13.155983,173.0799
810,92.99999,99.83135,-6.83136,6.83136,46.667477
811,82.0,95.20543,-13.205429,13.205429,174.38336
812,74.0,87.38245,-13.382446,13.382446,179.08987
813,59.0,78.83011,-19.830109,19.830109,393.23322
814,58.0,67.084175,-9.084175,9.084175,82.52224
815,53.000004,60.33267,-7.3326645,7.3326645,53.767967
816,49.0,54.94084,-5.9408417,5.9408417,35.2936
817,46.0,50.461437,-4.461437,4.461437,19.904423
818,47.0,46.918728,0.081272125,0.081272125,0.0066051586
819,54.0,45.877262,8.122738,8.122738,65.978874
820,58.0,49.444553,8.555447,8.555447,73.19566
821,80.99999,53.67129,27.328701,27.328701,746.8579
