,actual,predicted,difference,mae,mse
4248,30.034092,42.74664,-12.712547,12.712547,161.60886
4249,32.522728,34.755856,-2.2331276,2.2331276,4.986859
4250,38.329544,32.225994,6.10355,6.10355,37.253323
4251,25.886364,34.810314,-8.92395,8.92395,79.63689
4252,17.59091,29.52867,-11.937759,11.937759,142.5101
4253,21.738636,22.425264,-0.68662834,0.68662834,0.47145846
4254,21.738636,21.699654,0.03898239,0.03898239,0.0015196268
4255,18.420454,21.81126,-3.3908062,3.3908062,11.497566
4256,13.443182,20.241869,-6.798687,6.798687,46.222145
4257,5.977273,17.01344,-11.036166,11.036166,121.79697
4258,7.636364,12.014713,-4.3783493,4.3783493,19.169943
4259,4.318182,10.984403,-6.6662207,6.6662207,44.4385
4260,4.318182,9.273978,-4.9557962,4.9557962,24.559916
4261,2.659091,8.655894,-5.9968033,5.9968033,35.96165
4262,5.977273,7.743228,-1.765955,1.765955,3.118597
4263,13.443182,8.942745,4.500437,4.500437,20.253931
4264,5.977273,13.011592,-7.034319,7.034319,49.481644
4265,5.977273,11.048647,-5.071374,5.071374,25.718834
4266,15.931819,10.041983,5.8898363,5.8898363,34.69017
4267,15.102273,14.500203,0.60206985,0.60206985,0.36248812
4268,15.931819,16.050411,-0.11859226,0.11859226,0.014064125
4269,14.272728,16.899712,-2.6269836,2.6269836,6.901043
4270,17.59091,16.349535,1.241375,1.241375,1.5410118
4271,17.59091,17.693672,-0.10276222,0.10276222,0.010560074
4272,14.272728,18.330135,-4.0574074,4.0574074,16.462555
4273,25.886364,16.845364,9.041,9.041,81.739685
4274,24.227272,22.047356,2.1799164,2.1799164,4.7520356
4275,38.329544,23.680412,14.649132,14.649132,214.59706
4276,30.034092,31.516191,-1.4820995,1.4820995,2.196619
4277,35.840908,30.902195,4.938713,4.938713,24.390886
4278,59.068184,33.097652,25.970531,25.970531,674.4685
4279,49.11364,46.583683,2.5299568,2.5299568,6.4006815
4280,38.329544,48.41303,-10.083485,10.083485,101.67667
4281,17.59091,42.495922,-24.905012,24.905012,620.25964
4282,10.125001,27.498234,-17.373234,17.373234,301.82925
